email,title,category,owner_id,owner_name,street,city,postal_code,country,has_wheelchair_accessible_parking,address,website,phone,link,clean_link
contact@helloroadmap.com,Roadmap • Agence digitale et marketing (ex Je sors en ville),Agence de marketing,100762527101070260778,Roadmap • Agence digitale et marketing (ex Je sors en ville),4 Pl. Amédée Bonnet,Lyon,69002,FR,Non,"4 Pl. Amédée Bonnet, 69002 Lyon",https://helloroadmap.com/,06 78 47 68 29,https://www.google.com/maps/place/Roadmap+%E2%80%A2+Agence+digitale+et+marketing+%28ex+Je+sors+en+ville%29/data=!4m7!3m6!1s0x47f4ebb2c0d13b27:0xeee4430165b8c301!8m2!3d45.7585142!4d4.8366857!16s%2Fg%2F11b723s94g!19sChIJJzvRwLLr9EcRAcO4ZQFD5O4?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Roadmap+%E2%80%A2+Agence+digitale+et+marketing+%28ex+Je+sors+en+ville%29/data=!4m7!3m6!1s0x47f4ebb2c0d13b27:0xeee4430165b8c301!8m2!3d45.7585142!4d4.8366857!16s%2Fg%2F11b723s94g!19sChIJJzvRwLLr9EcRAcO4ZQFD5O4
codecircle.pro@gmail.com,Code Circle - Agence web WordPress sur Lyon,Concepteur de sites Web,106372656794614588094,Code Circle - Agence web WordPress sur Lyon,70 Bd Marius Vivier Merle,Lyon,69003,FR,Non,"70 Bd Marius Vivier Merle, 69003 Lyon",https://codecircle.fr/,06 36 93 94 53,https://www.google.com/maps/place/Code+Circle+-+Agence+web+WordPress+sur+Lyon/data=!4m7!3m6!1s0x47f4c1f76654d537:0xa166f2b13943c981!8m2!3d45.7567967!4d4.8585881!16s%2Fg%2F11fm6pz859!19sChIJN9VUZvfB9EcRgclDObHyZqE?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Code+Circle+-+Agence+web+WordPress+sur+Lyon/data=!4m7!3m6!1s0x47f4c1f76654d537:0xa166f2b13943c981!8m2!3d45.7567967!4d4.8585881!16s%2Fg%2F11fm6pz859!19sChIJN9VUZvfB9EcRgclDObHyZqE
contact@astronaut-agency.com,Astronaut Agency - Agence Web - Saint Prim,Concepteur de sites Web,111023260757290815678,Astronaut Agency - Agence Web - Saint Prim,21 Rue du Commandant Fuzier,Lyon,69003,FR,Non,"21 Rue du Commandant Fuzier, 69003 Lyon",https://www.astronaut-agency.com/,06 51 49 21 29,https://www.google.com/maps/place/Astronaut+Agency+-+Agence+Web+-+Saint+Prim/data=!4m7!3m6!1s0xa1e14b74e736089:0x1a8428666f345c77!8m2!3d45.7545876!4d4.8455161!16s%2Fg%2F11pv3s7ls4!19sChIJiWBzTrcUHgoRd1w0b2YohBo?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Astronaut+Agency+-+Agence+Web+-+Saint+Prim/data=!4m7!3m6!1s0xa1e14b74e736089:0x1a8428666f345c77!8m2!3d45.7545876!4d4.8455161!16s%2Fg%2F11pv3s7ls4!19sChIJiWBzTrcUHgoRd1w0b2YohBo
contact@akdconception.com,AKD CONCEPTION - Agence Web & Référencement SEO,Agence de marketing,103444885401667679472,AKD CONCEPTION - Agence Web & Référencement SEO,,,,,Non,,http://www.akdconception.com/,,https://www.google.com/maps/place/AKD+CONCEPTION+-+Agence+Web+%26+R%C3%A9f%C3%A9rencement+SEO/data=!4m7!3m6!1s0x47f4c15772088c71:0xa541e8bf45696417!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11lfzxny5p!19sChIJcYwIclfB9EcRF2RpRb_oQaU?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/AKD+CONCEPTION+-+Agence+Web+%26+R%C3%A9f%C3%A9rencement+SEO/data=!4m7!3m6!1s0x47f4c15772088c71:0xa541e8bf45696417!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11lfzxny5p!19sChIJcYwIclfB9EcRF2RpRb_oQaU
contact@digitify.fr,"DIGITIFY Agence Web Lyon : Développement site internet, E-commerce, Référencement SEO & web design",Concepteur de sites Web,107020065802464049408,"DIGITIFY Agence Web Lyon : Développement site internet, E-commerce, Référencement SEO & web design",333 A Rue du Doyen Georges Chapas,Lyon,69009,FR,Oui,"333 A Rue du Doyen Georges Chapas, 69009 Lyon",http://www.digitify.fr/,07 66 52 54 57,"https://www.google.com/maps/place/DIGITIFY+Agence+Web+Lyon+:+D%C3%A9veloppement+site+internet,+E-commerce,+R%C3%A9f%C3%A9rencement+SEO+%26+web+design/data=!4m7!3m6!1s0x47f4ebed648d32bb:0x441e2d799b66663a!8m2!3d45.7904921!4d4.7999847!16s%2Fg%2F11pq3hx6xv!19sChIJuzKNZO3r9EcROmZmm3ktHkQ?authuser=0&hl=fr&rclk=1","https://www.google.com/maps/place/DIGITIFY+Agence+Web+Lyon+:+D%C3%A9veloppement+site+internet,+E-commerce,+R%C3%A9f%C3%A9rencement+SEO+%26+web+design/data=!4m7!3m6!1s0x47f4ebed648d32bb:0x441e2d799b66663a!8m2!3d45.7904921!4d4.7999847!16s%2Fg%2F11pq3hx6xv!19sChIJuzKNZO3r9EcROmZmm3ktHkQ"
contact@digi-zen.fr,Création site internet Lyon - Agence Digi-zen,Concepteur de sites Web,113027536549337540123,Création site internet Lyon - Agence Digi-zen,19 Rue Père Chevrier,Lyon,69007,FR,Non,"19 Rue Père Chevrier, 69007 Lyon",https://digi-zen.fr/,06 46 00 32 74,https://www.google.com/maps/place/Cr%C3%A9ation+site+internet+Lyon+-+Agence+Digi-zen/data=!4m7!3m6!1s0x65e2ea858d9955cb:0xaeb89fa59f9ee60f!8m2!3d45.7496869!4d4.8432584!16s%2Fg%2F11wmms_tzr!19sChIJy1WZjYXq4mURD-aen6WfuK4?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Cr%C3%A9ation+site+internet+Lyon+-+Agence+Digi-zen/data=!4m7!3m6!1s0x65e2ea858d9955cb:0xaeb89fa59f9ee60f!8m2!3d45.7496869!4d4.8432584!16s%2Fg%2F11wmms_tzr!19sChIJy1WZjYXq4mURD-aen6WfuK4
remiclavel@hotmail.com,Rémi CLAVEL,Concepteur de sites Web,108709345135732069621,Rémi CLAVEL,8 Rue Rameau,Clermont-Ferrand,63000,FR,Non,"8 Rue Rameau, 63000 Clermont-Ferrand",https://remiclavel.fr/,,https://www.google.com/maps/place/R%C3%A9mi+CLAVEL/data=!4m7!3m6!1s0x47f71bd15564879f:0xe666e1d8c102bd07!8m2!3d45.7759211!4d3.0778398!16s%2Fg%2F11qyl8mnhx!19sChIJn4dkVdEb90cRB70CwdjhZuY?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/R%C3%A9mi+CLAVEL/data=!4m7!3m6!1s0x47f71bd15564879f:0xe666e1d8c102bd07!8m2!3d45.7759211!4d3.0778398!16s%2Fg%2F11qyl8mnhx!19sChIJn4dkVdEb90cRB70CwdjhZuY
accueil@letacommunication.fr,L&A Communication Agence Web et Print,Concepteur de sites Web,112190252439767319651,L&A Communication Agence Web et Print,183 Av. Félix Faure,Lyon,69003,FR,Non,"183 Av. Félix Faure, 69003 Lyon",https://letacommunication.fr/,07 68 74 52 25,https://www.google.com/maps/place/L%26A+Communication+Agence+Web+et+Print/data=!4m7!3m6!1s0x47f4eb8617beda3b:0xd0dd361488d8dd64!8m2!3d45.7550338!4d4.8693035!16s%2Fg%2F11fpj76k0y!19sChIJO9q-F4br9EcRZN3YiBQ23dA?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/L%26A+Communication+Agence+Web+et+Print/data=!4m7!3m6!1s0x47f4eb8617beda3b:0xd0dd361488d8dd64!8m2!3d45.7550338!4d4.8693035!16s%2Fg%2F11fpj76k0y!19sChIJO9q-F4br9EcRZN3YiBQ23dA
contact@lacooperativedesinternets.fr,La Coopérative des Internets - Agence digitale responsable,Concepteur de sites Web,114385779282317072610,La Coopérative des Internets - Agence digitale responsable,10 Rue Jangot,Lyon,69007,FR,Non,"10 Rue Jangot, 69007 Lyon",https://www.lacooperativedesinternets.fr/,04 28 29 73 12,https://www.google.com/maps/place/La+Coop%C3%A9rative+des+Internets+-+Agence+digitale+responsable/data=!4m7!3m6!1s0x47f4eb61fa69ccab:0x6eaff086a59f2bb6!8m2!3d45.7516494!4d4.8424032!16s%2Fg%2F11p4p_9vld!19sChIJq8xp-mHr9EcRtiufpYbwr24?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/La+Coop%C3%A9rative+des+Internets+-+Agence+digitale+responsable/data=!4m7!3m6!1s0x47f4eb61fa69ccab:0x6eaff086a59f2bb6!8m2!3d45.7516494!4d4.8424032!16s%2Fg%2F11p4p_9vld!19sChIJq8xp-mHr9EcRtiufpYbwr24
contact@grainedepub.fr,Graine de Pub,Agence de marketing,113679394543682049294,Graine de Pub,1 Rue de la République,Lyon,69001,FR,Non,"1 Rue de la République, 69001 Lyon",https://www.grainedepub.com/,,https://www.google.com/maps/place/Graine+de+Pub/data=!4m7!3m6!1s0x47f4eaf9385a8fd9:0x1ce7fbb3f304b616!8m2!3d45.767326!4d4.836291!16s%2Fg%2F11ggz9dzlv!19sChIJ2Y9aOPnq9EcRFrYE87P75xw?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Graine+de+Pub/data=!4m7!3m6!1s0x47f4eaf9385a8fd9:0x1ce7fbb3f304b616!8m2!3d45.767326!4d4.836291!16s%2Fg%2F11ggz9dzlv!19sChIJ2Y9aOPnq9EcRFrYE87P75xw
contact@novadigital.fr,Novadigital,Concepteur de sites Web,102577492278515171541,Novadigital,78 Rue Saint-Pierre de Vaise,Lyon,69009,FR,Non,"78 Rue Saint-Pierre de Vaise, 69009 Lyon",https://www.novadigital.fr/,06 42 77 23 85,https://www.google.com/maps/place/Novadigital/data=!4m7!3m6!1s0x47f4eb5cf916f4d5:0x93cb4a4a613a2ab6!8m2!3d45.7711567!4d4.8026447!16s%2Fg%2F11ngpgg8h5!19sChIJ1fQW-Vzr9EcRtio6YUpKy5M?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Novadigital/data=!4m7!3m6!1s0x47f4eb5cf916f4d5:0x93cb4a4a613a2ab6!8m2!3d45.7711567!4d4.8026447!16s%2Fg%2F11ngpgg8h5!19sChIJ1fQW-Vzr9EcRtio6YUpKy5M
odsagenceweb@opendataservices.fr,ODS Agence Web,Concepteur de sites Web,112091873980035151189,ODS Agence Web,,,,,Non,,https://odsagenceweb.fr/,06 81 45 04 49,https://www.google.com/maps/place/ODS+Agence+Web/data=!4m7!3m6!1s0x47f4ebd0e61dd3a7:0x8827addeff7e53e3!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11gnp3y45f!19sChIJp9Md5tDr9EcR41N-_96tJ4g?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/ODS+Agence+Web/data=!4m7!3m6!1s0x47f4ebd0e61dd3a7:0x8827addeff7e53e3!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11gnp3y45f!19sChIJp9Md5tDr9EcR41N-_96tJ4g
contact@agence-kn.fr,"Agence KN, agence web WordPress",Concepteur de sites Web,110239317185634802206,"Agence KN, agence web WordPress",169 Av. Charles de Gaulle,Tassin-la-Demi-Lune,69160,FR,Oui,"169 Av. Charles de Gaulle, 69160 Tassin-la-Demi-Lune",https://www.agence-kn.fr/,04 74 70 90 19,"https://www.google.com/maps/place/Agence+KN,+agence+web+WordPress/data=!4m7!3m6!1s0x47f4ec7ad1b3a0ff:0xef355e39f6804fc4!8m2!3d45.7586026!4d4.7759802!16s%2Fg%2F1jkxm0cwz!19sChIJ_6Cz0Xrs9EcRxE-A9jleNe8?authuser=0&hl=fr&rclk=1","https://www.google.com/maps/place/Agence+KN,+agence+web+WordPress/data=!4m7!3m6!1s0x47f4ec7ad1b3a0ff:0xef355e39f6804fc4!8m2!3d45.7586026!4d4.7759802!16s%2Fg%2F1jkxm0cwz!19sChIJ_6Cz0Xrs9EcRxE-A9jleNe8"
hello@web-id.fr,WEB-ID Agence digitale Web & Mobile - Développement sur-mesure | Certifiée Laravel,Concepteur de sites Web,102606659931801869107,WEB-ID Agence digitale Web & Mobile - Développement sur-mesure | Certifiée Laravel,5 Imp. Morel,Lyon,69003,FR,Oui,"5 Imp. Morel, 69003 Lyon",http://www.web-id.fr/,04 65 84 35 34,https://www.google.com/maps/place/WEB-ID+Agence+digitale+Web+%26+Mobile+-+D%C3%A9veloppement+sur-mesure+%7C+Certifi%C3%A9e+Laravel/data=!4m7!3m6!1s0x47f4eaf87d117f1b:0xb97ae0139ad4e53e!8m2!3d45.7532877!4d4.8795168!16s%2Fg%2F11g6pn_jh4!19sChIJG38Rffjq9EcRPuXUmhPgerk?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/WEB-ID+Agence+digitale+Web+%26+Mobile+-+D%C3%A9veloppement+sur-mesure+%7C+Certifi%C3%A9e+Laravel/data=!4m7!3m6!1s0x47f4eaf87d117f1b:0xb97ae0139ad4e53e!8m2!3d45.7532877!4d4.8795168!16s%2Fg%2F11g6pn_jh4!19sChIJG38Rffjq9EcRPuXUmhPgerk
postmaster@69services.fr,Agence Web 69s service internet SEO,Concepteur de sites Web,104758522781839824492,Agence Web 69s service internet SEO,21 Bd Honoré de Balzac,Villeurbanne,69100,FR,Non,"21 Bd Honoré de Balzac, 69100 Villeurbanne",http://www.69services.fr/,06 33 79 48 92,https://www.google.com/maps/place/Agence+Web+69s+service+internet+SEO/data=!4m7!3m6!1s0x47f4ea73f9181613:0x15d314bb09817996!8m2!3d45.7556303!4d4.8885377!16s%2Fg%2F1pv19jg3y!19sChIJExYY-XPq9EcRlnmBCbsU0xU?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Agence+Web+69s+service+internet+SEO/data=!4m7!3m6!1s0x47f4ea73f9181613:0x15d314bb09817996!8m2!3d45.7556303!4d4.8885377!16s%2Fg%2F1pv19jg3y!19sChIJExYY-XPq9EcRlnmBCbsU0xU
contact@tsukidev.fr,"Tsuki Dev : Agence web Lyon - Expert Wordpress, Prestashop, Symfony, SEO",Concepteur de sites Web,100972265692665821079,"Tsuki Dev : Agence web Lyon - Expert Wordpress, Prestashop, Symfony, SEO",110 Av. Barthélémy Buyer Espace 110,Lyon,69009,FR,Non,"110 Av. Barthélémy Buyer Espace 110, 69009 Lyon",https://tsukidev.fr/,07 66 75 39 98,"https://www.google.com/maps/place/Tsuki+Dev+:+Agence+web+Lyon+-+Expert+Wordpress,+Prestashop,+Symfony,+SEO/data=!4m7!3m6!1s0x47f4ebfd8de72a0d:0xda6b77c4aaf82509!8m2!3d45.763108!4d4.8017104!16s%2Fg%2F11wth56gcw!19sChIJDSrnjf3r9EcRCSX4qsR3a9o?authuser=0&hl=fr&rclk=1","https://www.google.com/maps/place/Tsuki+Dev+:+Agence+web+Lyon+-+Expert+Wordpress,+Prestashop,+Symfony,+SEO/data=!4m7!3m6!1s0x47f4ebfd8de72a0d:0xda6b77c4aaf82509!8m2!3d45.763108!4d4.8017104!16s%2Fg%2F11wth56gcw!19sChIJDSrnjf3r9EcRCSX4qsR3a9o"
jean.dupont@gmail.com,Agence Vingt Deux,Agence de marketing,118224443760591833591,Agence Vingt Deux,46 Av. de Cournon,Aubière,63170,FR,Oui,"46 Av. de Cournon, 63170 Aubière",https://www.vingtdeux.fr/,04 44 05 00 22,https://www.google.com/maps/place/Agence+Vingt+Deux/data=!4m7!3m6!1s0x47f71dd9057f4eeb:0x9febc28e8a79f18b!8m2!3d45.7530561!4d3.1379041!16s%2Fg%2F11hzdccpfh!19sChIJ605_Bdkd90cRi_F5io7C658?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Agence+Vingt+Deux/data=!4m7!3m6!1s0x47f71dd9057f4eeb:0x9febc28e8a79f18b!8m2!3d45.7530561!4d3.1379041!16s%2Fg%2F11hzdccpfh!19sChIJ605_Bdkd90cRi_F5io7C658
dorian@homweb.fr,Homweb - Agence Web Créative,Concepteur de sites Web,117001754352588053102,Homweb - Agence Web Créative,25 Rue de Bourgogne,Lyon,69009,FR,Non,"25 Rue de Bourgogne, 69009 Lyon",http://homweb.fr/,07 81 81 55 34,https://www.google.com/maps/place/Homweb+-+Agence+Web+Cr%C3%A9ative/data=!4m7!3m6!1s0xaff3bc3157f326d5:0x629f05dc7be0950a!8m2!3d45.7776621!4d4.8030493!16s%2Fg%2F11s96fsh11!19sChIJ1SbzVzG8868RCpXge9wFn2I?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Homweb+-+Agence+Web+Cr%C3%A9ative/data=!4m7!3m6!1s0xaff3bc3157f326d5:0x629f05dc7be0950a!8m2!3d45.7776621!4d4.8030493!16s%2Fg%2F11s96fsh11!19sChIJ1SbzVzG8868RCpXge9wFn2I
contact@homweb.fr,Homweb - Agence Web Créative,Concepteur de sites Web,117001754352588053102,Homweb - Agence Web Créative,25 Rue de Bourgogne,Lyon,69009,FR,Non,"25 Rue de Bourgogne, 69009 Lyon",http://homweb.fr/,07 81 81 55 34,https://www.google.com/maps/place/Homweb+-+Agence+Web+Cr%C3%A9ative/data=!4m7!3m6!1s0xaff3bc3157f326d5:0x629f05dc7be0950a!8m2!3d45.7776621!4d4.8030493!16s%2Fg%2F11s96fsh11!19sChIJ1SbzVzG8868RCpXge9wFn2I?authuser=0&hl=fr&rclk=1,https://www.google.com/maps/place/Homweb+-+Agence+Web+Cr%C3%A9ative/data=!4m7!3m6!1s0xaff3bc3157f326d5:0x629f05dc7be0950a!8m2!3d45.7776621!4d4.8030493!16s%2Fg%2F11s96fsh11!19sChIJ1SbzVzG8868RCpXge9wFn2I
